Name,source,Cause,target,Order,Sign.
AAPL,0,BAC,2,1,*
AAPL,0,CITI,3,4,.
AAPL,0,JPM,5,1,.
AAPL,0,SPY,9,1,**
AAPL,0,XLF,11,2,.
AIG,1,JNJ,4,1,*
AIG,1,SPY,9,5,.
BAC,2,AIG,1,2,*
BAC,2,CITI,3,6,.
BAC,2,JNJ,4,1,**
BAC,2,WFC,7,5,.
BAC,2,XLK,10,1,*
BAC,2,XLF,11,2,.
BAC,2,TED,12,6,*
CITI,3,AIG,1,1,.
CITI,3,JNJ,4,1,.
CITI,3,JPM,5,2,*
CITI,3,XOM,8,1,**
CITI,3,SPY,9,5,.
CITI,3,XLK,10,2,*
CITI,3,TED,12,4,.
JNJ,4,AIG,1,1,*
JNJ,4,BAC,2,1,*
JNJ,4,WFC,7,4,.
JNJ,4,XLK,10,2,*
JNJ,4,VIX,13,4,.
JPM,5,JNJ,4,1,.
JPM,5,XOM,8,2,*
MSFT,6,AAPL,0,1,.
MSFT,6,WFC,7,5,*
MSFT,6,XOM,8,4,.
MSFT,6,XLF,11,4,.
MSFT,6,TED,12,4,*
MSFT,6,VIX,13,6,*
SPY,9,XOM,8,1,*
SPY,9,XLF,11,3,**
TED,12,AIG,1,2,*
TED,12,CITI,3,1,*
TED,12,SPY,9,2,.
TED,12,XLK,10,1,*
TED,12,XLF,11,1,**
VIX,13,AAPL,0,5,.
VIX,13,TED,12,2,***
WFC,7,JPM,5,2,.
WFC,7,XOM,8,3,.
WFC,7,XLK,10,2,*
WFC,7,XLF,11,2,*
WFC,7,VIX,13,3,.
XLF,11,XOM,8,1,*
XLF,11,XLK,10,2,*
XLF,11,TED,12,5,*
XLF,11,VIX,13,1,*
XLK,10,BAC,2,5,.
XLK,10,CITI,3,1,*
XLK,10,JNJ,4,2,.
XLK,10,XLF,11,6,.
XLK,10,TED,12,6,*
XLK,10,VIX,13,4,*
XOM,8,AAPL,0,4,.
XOM,8,CITI,3,1,*
XOM,8,WFC,7,3,*
XOM,8,XLK,10,3,.
XOM,8,XLF,11,3,*
