Name,source,Cause,target,Order,Sign.
AAPL,0,CITI,3,4,.
AAPL,0,MSFT,6,1,*
AAPL,0,SPY,9,2,.
AAPL,0,XLK,10,4,.
AAPL,0,VIX,13,1,.
AIG,1,MSFT,6,1,*
AIG,1,WFC,7,4,.
AIG,1,SPY,9,1,**
AIG,1,TED,12,1,.
BAC,2,CITI,3,2,.
BAC,2,WFC,7,1,.
BAC,2,XOM,8,1,.
CITI,3,BAC,2,6,*
CITI,3,JNJ,4,4,.
CITI,3,JPM,5,4,*
CITI,3,XOM,8,1,.
JNJ,4,AIG,1,3,.
JNJ,4,BAC,2,2,.
JNJ,4,WFC,7,4,.
JNJ,4,XOM,8,1,*
JNJ,4,SPY,9,1,.
JNJ,4,XLF,11,3,*
JPM,5,CITI,3,2,**
JPM,5,JNJ,4,5,*
JPM,5,XLK,10,1,.
MSFT,6,AAPL,0,1,**
MSFT,6,AIG,1,1,.
MSFT,6,BAC,2,2,*
MSFT,6,WFC,7,1,*
MSFT,6,SPY,9,4,*
MSFT,6,XLK,10,3,.
MSFT,6,TED,12,1,*
SPY,9,AAPL,0,1,***
SPY,9,CITI,3,5,*
SPY,9,JPM,5,2,*
SPY,9,XLF,11,1,.
TED,12,AAPL,0,2,.
TED,12,AIG,1,1,*
TED,12,CITI,3,5,.
TED,12,MSFT,6,1,**
TED,12,XLK,10,1,*
VIX,13,AAPL,0,2,.
VIX,13,MSFT,6,4,.
VIX,13,WFC,7,6,.
VIX,13,XLK,10,1,*
WFC,7,AIG,1,3,**
WFC,7,BAC,2,5,.
WFC,7,JNJ,4,1,.
WFC,7,XLF,11,3,**
WFC,7,TED,12,3,.
WFC,7,VIX,13,5,.
XLF,11,JNJ,4,1,.
XLF,11,XOM,8,2,.
XLK,10,AIG,1,6,*
XLK,10,BAC,2,6,.
XLK,10,JPM,5,4,*
XLK,10,XLF,11,6,.
XOM,8,AAPL,0,2,.
XOM,8,BAC,2,2,*
XOM,8,CITI,3,3,*
XOM,8,JNJ,4,1,*
XOM,8,WFC,7,3,*
XOM,8,XLF,11,5,.
XOM,8,VIX,13,1,.
