Name,source,Cause,target,Order,Sign.
AAPL,0,MSFT,6,1,*
AIG,1,MSFT,6,1,*
AIG,1,SPY,9,1,**
CITI,3,BAC,2,6,*
CITI,3,JPM,5,4,*
JNJ,4,XOM,8,1,*
JNJ,4,XLF,11,3,*
JPM,5,CITI,3,2,**
JPM,5,JNJ,4,5,*
MSFT,6,AAPL,0,1,**
MSFT,6,BAC,2,2,*
MSFT,6,WFC,7,1,*
MSFT,6,SPY,9,4,*
MSFT,6,TED,12,1,*
SPY,9,AAPL,0,1,***
SPY,9,CITI,3,5,*
SPY,9,JPM,5,2,*
TED,12,AIG,1,1,*
TED,12,MSFT,6,1,**
TED,12,XLK,10,1,*
VIX,13,XLK,10,1,*
WFC,7,AIG,1,3,**
WFC,7,XLF,11,3,**
XLK,10,AIG,1,6,*
XLK,10,JPM,5,4,*
XOM,8,BAC,2,2,*
XOM,8,CITI,3,3,*
XOM,8,JNJ,4,1,*
XOM,8,WFC,7,3,*
