nodes,id,name,type,la,size
0,AAPL,AAPL,1,Tech,100
1,AIG,AIG,2,Finance,150
2,BAC,BAC,2,Finance,150
3,CITI,CITI,2,Finance,150
4,JNJ,JNJ,3,Health,100
5,JPM,JPM,2,Finance,150
6,MSFT,MSFT,1,Tech,150
7,WFC,WFC,2,Finance,100
8,XOM,XOM,4,Energy,50
9,SPY,SPY,5,Index,100
10,XLK,XLK,5,Index,100
11,XLF,XLF,5,Index,100
12,TED,TED,5,Index,50
13,VIX,VIX,5,Index,0
