Name,source,Cause,target,Order,Sign.
AAPL,0,MSFT,6,1,*
AAPL,0,CITI,3,4,*
AIG,1,SPY,9,1,**
AIG,1,VIX,13,1,*
BAC,2,WFC,7,1,**
CITI,3,XLK,10,6,*
CITI,3,SPY,9,1,*
CITI,3,MSFT,6,1,*
CITI,3,JPM,5,4,**
JNJ,4,XLF,11,3,*
JPM,5,XLK,10,2,*
MSFT,6,XLK,10,4,*
MSFT,6,CITI,3,6,*
MSFT,6,AAPL,0,1,*
MSFT,6,TED,12,1,*
SPY,9,XLF,11,1,*
TED,12,MSFT,6,1,*
VIX,13,SPY,9,2,*
VIX,13,WFC,7,6,*
WFC,7,XLF,11,3,**
WFC,7,AIG,1,3,**
XLF,11,WFC,7,1,*
XLF,11,JPM,5,3,*
XLF,11,JNJ,4,1,*
XLK,10,XLF,11,6,*
XOM,8,XLK,10,5,*
